"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Pinho J.C.; Fontes A.; Santos G.G.","Pinho, José Carlos (13411016100); Fontes, Alexandra (8840649200); Santos, Gina Gaio (24773865600)","13411016100; 8840649200; 24773865600","Balancing the double-edged sword of artificial Intelligence: Job demands, resources, and Work–Life balance","2026","https://www.scopus.com/pages/publications/105027944203?origin=resultslist"
"He L.; Ismail K.","He, Liying (57204514384); Ismail, Kamisah (54401333300)","57204514384; 54401333300","Do staff capacity and performance-based budgeting improve organisational performance? Empirical evidence from Chinese public universities","2023","https://www.scopus.com/pages/publications/85146669608?origin=resultslist"
"Liao C.-P.; Wu C.-C.; Chen C.-C.","Liao, Chien-Po (57994858300); Wu, Chi-Cheng (56132549400); Chen, Chi-Chung (59501092500)","57994858300; 56132549400; 59501092500","Necessary Conditions in Social Media Addiction: Identifying Key Antecedents","2025","https://www.scopus.com/pages/publications/85214113562?origin=resultslist"
"Karwowski M.; Kaufman J.C.; Lebuda I.; Szumski G.; Firkowska-Mankiewicz A.","Karwowski, Maciej (57204340112); Kaufman, James C. (7403022406); Lebuda, Izabela (15923118100); Szumski, Grzegorz (36150339500); Firkowska-Mankiewicz, Anna (6507223904)","57204340112; 7403022406; 15923118100; 36150339500; 6507223904","Intelligence in childhood and creative achievements in middle-age: The necessary condition approach","2017","https://www.scopus.com/pages/publications/85021956304?origin=resultslist"
"Xu A.; Siddik A.B.; Sobhani F.A.; Rahman M.M.","Xu, Anfeng (36070285100); Siddik, Abu Bakkar (6507630070); Sobhani, Farid Ahammad (26657748500); Rahman, Md. Mominur (57220839098)","36070285100; 6507630070; 26657748500; 57220839098","Driving economic success: Fintech, tourism, FDI, and digitalization in the top 10 tourist destinations","2024","https://www.scopus.com/pages/publications/85209126825?origin=resultslist"
"Dul J.; Karwowski M.; Kaufman J.C.","Dul, Jan (7004370666); Karwowski, Maciej (57204340112); Kaufman, James C. (7403022406)","7004370666; 57204340112; 7403022406","Necessary Condition Analysis in creativity research","2020","https://www.scopus.com/pages/publications/85124204631?origin=resultslist"
"Colpizzi I.; Pössel P.; Marchetti I.","Colpizzi, Ilaria (57219313189); Pössel, Patrick (6602237255); Marchetti, Igor (35932225800)","57219313189; 6602237255; 35932225800","Unveiling the Necessary Conditions for Depressive Symptoms in Adolescent Girls and Boys: A Necessary Condition Analysis Study","2025","https://www.scopus.com/pages/publications/105010644635?origin=resultslist"
"Mohammed A.; Al-Swidi A.K.; Ferraris A.; Jabeen F.","Mohammed, Abdulalem (56147183200); Al-Swidi, Abdullah Kaid (36660614100); Ferraris, Alberto (56168763600); Jabeen, Fauzia (56278846200)","56147183200; 36660614100; 56168763600; 56278846200","Mobile Payments in Health Crisis: A Comprehensive Approach to Analyzing Consumer Behavior in Emerging Markets","2025","https://www.scopus.com/pages/publications/105003140398?origin=resultslist"
"Ren Z.; Liu Q.","Ren, Zongqiang (56023697100); Liu, Qinghan (59546402400)","56023697100; 59546402400","How Digital Transformation Drives the Value Enhancement of SMTEs from the Perspective of Technology, Business and Social Interaction","2025","https://www.scopus.com/pages/publications/85217161279?origin=resultslist"
"Song M.; Farivar F.; Ugrin J.C.; Wu J.; Wang F.; Liu L.","Song, Mengmeng (57218340733); Farivar, Farveh (57215382182); Ugrin, Joseph C. (21834651800); Wu, Jinnan (56013043700); Wang, Fang (57213679842); Liu, Lin (55715596400)","57218340733; 57215382182; 21834651800; 56013043700; 57213679842; 55715596400","Exploring the Complex Relationships Between Factors That Affect Employee Cyberloafing Using a Novel Approach: Findings from Fuzzy-Set Qualitative Comparative Analysis","2023","https://www.scopus.com/pages/publications/85174268829?origin=resultslist"
"Zhang K.; Zhou J.","Zhang, Kai (58864314000); Zhou, Jinhua (59350429500)","58864314000; 59350429500","Identifying precondition configurations of mathematics anxiety among middle school students in China: using NCA and QCA approaches","2024","https://www.scopus.com/pages/publications/85205371113?origin=resultslist"
"Dul J.","Dul, Jan (58556385900)","58556385900","Editorial: Identifying the Perfect Predictor of Absence of Disease: A Shift Toward Necessary Condition Analysis in Evidence-Based Medicine?","2025","https://www.scopus.com/pages/publications/85215586139?origin=resultslist"
"Novales A.; Mocker M.; van Heck E.; Dul J.","Novales, Ainara (57191162558); Mocker, Martin (26424764800); van Heck, Eric (55903215400); Dul, Jan (7004370666)","57191162558; 26424764800; 55903215400; 7004370666","Realizing desired effects from digitized product affordances: A case study of key inhibiting factors","2025","https://www.scopus.com/pages/publications/85211056088?origin=resultslist"
"Olafsen A.H.; Marescaux B.P.C.","Olafsen, Anja H. (55949138200); Marescaux, Baptiste P. C. (59308906400)","55949138200; 59308906400","Correction to: The bare necessities: a necessary condition analysis of the dual role of basic psychological need satisfaction and frustration on wellbeing at work (Motivation and Emotion, (2025), 10.1007/s11031-025-10113-5)","2026","https://www.scopus.com/pages/publications/105034766630?origin=resultslist"
"Rehman S.","Rehman, Sheena (58408211600)","58408211600","Unveiling the key determinants of cleantech venture capital investment in India: A study using necessary condition and fuzzy set qualitative comparative analysis","2026","https://www.scopus.com/pages/publications/105029644502?origin=resultslist"
"Garg N.; Mahipalan M.; Poulose S.; Burgess J.","Garg, Naval (57193195164); Mahipalan, Manju (57203546423); Poulose, Shobitha (57191347062); Burgess, John (7201650676)","57193195164; 57203546423; 57191347062; 7201650676","Does Gratitude Ensure Workplace Happiness Among University Teachers? Examining the Role of Social and Psychological Capital and Spiritual Climate","2022","https://www.scopus.com/pages/publications/85129592483?origin=resultslist"
"Dul J.; van der Laan E.; Kuik R.; Karwowski M.","Dul, Jan (7004370666); van der Laan, Erwin (6701566007); Kuik, Roelof (6602695707); Karwowski, Maciej (57204340112)","7004370666; 6701566007; 6602695707; 57204340112","Necessary Condition Analysis: Type I Error, Power, and Over-Interpretation of Test Results. A Reply to a Comment on NCA. Commentary: Predicting the Significance of Necessity","2019","https://www.scopus.com/pages/publications/85072731692?origin=resultslist"
"Hassan M.S.; Mai N.H.; Wahab N.S.A.; Amin M.B.; Hassan M.M.; Oláh J.","Hassan, Md Sharif (57220960500); Mai, Nguyen Hong (57657233200); Wahab, Nor Shaipah Abdul (55175710300); Amin, Mohammad Bin (58642963600); Hassan, Md Maruf (57193695192); Oláh, Judit (56016286600)","57220960500; 57657233200; 55175710300; 58642963600; 57193695192; 56016286600","Decentralized fintech platforms adoption intention in cyber risk environment among GenZ: A dual-method approach using PLS-SEM and necessary condition analysis","2025","https://www.scopus.com/pages/publications/105004817522?origin=resultslist"
"Li C.; Larivière B.","Li, Changxu (58630562800); Larivière, Bart (6506968858)","58630562800; 6506968858","The more extroverted the better? Unraveling the complex relationship between service robots' personality and the service robot experience","2023","https://www.scopus.com/pages/publications/85173113220?origin=resultslist"
"Olya H.; Taheri B.; Farmaki A.; Joseph Gannon M.","Olya, Hossein (57193663496); Taheri, Babak (54396156300); Farmaki, Anna (55223936100); Joseph Gannon, Martin (57194431885)","57193663496; 54396156300; 55223936100; 57194431885","Modelling perceived service quality and turnover intentions in gender-segregated environments","2022","https://www.scopus.com/pages/publications/85101630449?origin=resultslist"
"Tajudin; Triatmanto B.; Arifin S.","Tajudin (60337313600); Triatmanto, Boge (57201850952); Arifin, Syaiful (58849924900)","60337313600; 57201850952; 58849924900","Ethical leadership and organizational commitment: The roles of ethical culture and trust through PLS-SEM, NCA, and fuzzy TOPSIS","2026","https://www.scopus.com/pages/publications/105027769113?origin=resultslist"
"Oliveira E.; Van der Heijden B.I.J.M.; Finsel J.S.; Axelrad H.; Derous E.; Gu X.; Marzec I.; Mykletun R.J.; Vignoli M.; Pajic S.; Wöhrmann A.M.; Deller J.","Oliveira, Eduardo (57194545637); Van der Heijden, Beatrice Isabella Johanna Maria (13406606600); Finsel, Julia Sabrina (57219343324); Axelrad, Hila (55949265300); Derous, Eva (17433889900); Gu, Xiuzhu (35766410300); Marzec, Izabela (24464153400); Mykletun, Reidar Johan (6603174417); Vignoli, Michela (55767574400); Pajic, Sofija (57197780660); Wöhrmann, Anne Marit (55918330800); Deller, Jürgen (16030269500)","57194545637; 13406606600; 57219343324; 55949265300; 17433889900; 35766410300; 24464153400; 6603174417; 55767574400; 57197780660; 55918330800; 16030269500","Necessary HRM Practices for Extended Working Lives in Tight and Loose Societies: A Comparative Perspective","2026","https://www.scopus.com/pages/publications/105022635372?origin=resultslist"
"Cangialosi N.; Odoardi C.","Cangialosi, Nicola (57207795683); Odoardi, Carlo (55562150100)","57207795683; 55562150100","Team Personality Composition: A fsQCA and NCA Approach to Team Innovation","2025","https://www.scopus.com/pages/publications/85216085537?origin=resultslist"
"Huang Y.; Zhang J.; Xu Y.; Yuan Y.; Zhang M.; Huang L.","Huang, Yangjie (57218396928); Zhang, Jiali (58812460900); Xu, Ying (58812321700); Yuan, Yue (59562523700); Zhang, Mengting (57338616200); Huang, Leilei (57226281783)","57218396928; 58812460900; 58812321700; 59562523700; 57338616200; 57226281783","Digital entrepreneurial ecosystem and female entrepreneurial activity","2025","https://www.scopus.com/pages/publications/85218186098?origin=resultslist"
"Sorjonen K.; Alex J.W.; Melin B.","Sorjonen, Kimmo (8215118900); Alex, Jenny Wikström (57199738724); Melin, Bo (7003396577)","8215118900; 57199738724; 7003396577","Necessity as a function of skewness","2017","https://www.scopus.com/pages/publications/85038358838?origin=resultslist"
"Olafsen A.H.; Marescaux B.P.C.","Olafsen, Anja H. (55949138200); Marescaux, Baptiste P. C. (59308906400)","55949138200; 59308906400","The bare necessities: a necessary condition analysis of the dual role of basic psychological need satisfaction and frustration on wellbeing at work","2025","https://www.scopus.com/pages/publications/86000604069?origin=resultslist"
"Sirisety M.; Nekkanti M.R.; Datti R.S.; Bikkina N.; Patrakov E.V.; Baturina L.","Sirisety, Maneela (58302585400); Nekkanti, Mohana Rupa (59393216700); Datti, Ravi Shanker (58302640900); Bikkina, Nalini (57194175253); Patrakov, Eduard V. (55948530300); Baturina, Lioudmila (57225141894)","58302585400; 59393216700; 58302640900; 57194175253; 55948530300; 57225141894","Necessary Condition Analysis on the Relationship between Fear of Missing Out, Social Networking Addiction, and Psychological Well-Being","2025","https://www.scopus.com/pages/publications/105010116574?origin=resultslist"
"Chen G.; Chen J.","Chen, Guanxi (60086882200); Chen, Jiajun (58694791500)","60086882200; 58694791500","The temperature of connection: psychological mechanisms and happiness generation in AI-enabled neighborhoods","2026","https://www.scopus.com/pages/publications/105033610788?origin=resultslist"
"Zhou S.","Zhou, Shuai (57670065100)","57670065100","The effect of COVID-19 risk perception on pro-environmental behavior of Chinese consumers: Perspectives from affective event theory","2023","https://www.scopus.com/pages/publications/85146454157?origin=resultslist"
"Liang S.; Li W.; Zhang E.; Coleman P.","Liang, Shaobo (59374164500); Li, Wenchao (59996205300); Zhang, Evangelina (59995271800); Coleman, Philip (59996205400)","59374164500; 59996205300; 59995271800; 59996205400","Social desirability and life satisfaction in Chinese students: Positive affect and self-esteem as the mediators and necessary conditions","2025","https://www.scopus.com/pages/publications/105010620682?origin=resultslist"
"Bolívar-Cruz A.; Galván-Sánchez I.; Sánchez-Medina A.J.; Verano-Tacoronte D.","Bolívar-Cruz, Alicia (55321668200); Galván-Sánchez, Inmaculada (27267654200); Sánchez-Medina, Agustín J. (25638866100); Verano-Tacoronte, Domingo (11339599500)","55321668200; 27267654200; 25638866100; 11339599500","From career-related fear to intention: A hybrid methodological approach to telework research","2024","https://www.scopus.com/pages/publications/85208669066?origin=resultslist"
"Dong M.; Fournier M.A.","Dong, Mengxi (57202147857); Fournier, Marc A. (35274868100)","57202147857; 35274868100","What are the necessary conditions for wisdom? Examining intelligence, creativity, meaning-making, and the big-five traits","2022","https://www.scopus.com/pages/publications/85127029532?origin=resultslist"
"Liu Y.; Dai Z.; Zhao X.","Liu, Yunqing (57219614737); Dai, Zekun (58772869200); Zhao, Xin (57210285679)","57219614737; 58772869200; 57210285679","Unveiling the blueprint for rural digital prosperity: A comparative examination of top 100 digital counties in China","2024","https://www.scopus.com/pages/publications/85203009857?origin=resultslist"
"Sonker K.; Tewari V.; Tiwari V.","Sonker, Kashish (60115894300); Tewari, Vijaishri (54384157500); Tiwari, Vineet (57195427709)","60115894300; 54384157500; 57195427709","From traits to triumph: Exploring the impact of job embeddedness in linking the big five personality traits to career satisfaction among IT sector employees - A combined use of cIPMA and PLS-SEM","2025","https://www.scopus.com/pages/publications/105017138941?origin=resultslist"
"Liang S.; Li Y.; Yang Y.","Liang, Shaobo (59374164500); Li, Yuhang (57811566400); Yang, Yanyu (57226078802)","59374164500; 57811566400; 57226078802","Is student engagement without classroom social climate possible? A necessary condition analysis","2025","https://www.scopus.com/pages/publications/105021020058?origin=resultslist"
"Camitan D.S., IV; Bajin L.N.","Camitan, Desiderio S. (57222651110); Bajin, Lalaine N. (57222651917)","57222651110; 57222651917","The Importance of Well-Being on Resiliency of Filipino Adults During the COVID-19 Enhanced Community Quarantine: A Necessary Condition Analysis","2021","https://www.scopus.com/pages/publications/85103676633?origin=resultslist"
"Hasselwander M.","Hasselwander, Marc (57222536478)","57222536478","Who wants to use transport super apps? Insights from combined PLS-SEM and NCA methods","2025","https://www.scopus.com/pages/publications/105003760628?origin=resultslist"
"Liu J.; Chen J.","Liu, Jinrong (60093249700); Chen, Jialiang (58766599800)","60093249700; 58766599800","Chatbot-aided product purchases among Generation Z: the role of personality traits","2025","https://www.scopus.com/pages/publications/105015365872?origin=resultslist"
"Peltokorpi V.; Sekiguchi T.","Peltokorpi, Vesa (8349132900); Sekiguchi, Tomoki (23991843400)","8349132900; 23991843400","The interaction of the five-factor personality traits and job embeddedness in explaining voluntary turnover: A necessary-condition perspective","2023","https://www.scopus.com/pages/publications/85168137531?origin=resultslist"
"Ding H.; Kuvaas B.","Ding, Haien (57892716400); Kuvaas, Bård (55901416400)","57892716400; 55901416400","Using necessary condition analysis in managerial psychology research: introduction, empirical demonstration and methodological discussion","2023","https://www.scopus.com/pages/publications/85159337499?origin=resultslist"
"Marchetti I.; Koster E.H.W.; Dul J.","Marchetti, Igor (35932225800); Koster, Ernst H.W. (7006735833); Dul, Jan (7004370666)","35932225800; 7006735833; 7004370666","Necessity causality in mental health research: Applying necessary condition analysis in clinical psychology and psychiatry","2026","https://www.scopus.com/pages/publications/105024456781?origin=resultslist"
"Mercier M.; Lubart T.","Mercier, Maxence (57221915248); Lubart, Todd (6602453537)","57221915248; 6602453537","Are Individual-Level Factors Necessary for Creativity in the Workplace? A Necessary Condition Analysis","2026","https://www.scopus.com/pages/publications/105029834680?origin=resultslist"
"Marchetti I.; Koster E.H.W.; Hankin B.L.","Marchetti, Igor (35932225800); Koster, Ernst H.W. (7006735833); Hankin, Benjamin L. (6603938682)","35932225800; 7006735833; 6603938682","Which Psychosocial Risks Are Necessary for Developing Depression During Adolescence? A Novel Approach Applying Necessary Condition Analysis","2025","https://www.scopus.com/pages/publications/85210061879?origin=resultslist"
"Zhou Y.; Kuncel N.R.; Sackett P.R.","Zhou, You (58021082600); Kuncel, Nathan R. (6507833124); Sackett, Paul R. (7005819453)","58021082600; 6507833124; 7005819453","Examining the Existence of Cognitive Thresholds in Highly Quantitative College Courses","2024","https://www.scopus.com/pages/publications/85191578100?origin=resultslist"
"Liébana-Cabanillas F.; Ghazanfar A.A.; Higueras-Castillo E.; Wagner R.","Liébana-Cabanillas, Francisco (55151541700); Ghazanfar, Ali Abbasi (57218478717); Higueras-Castillo, Elena (57201211011); Wagner, Ralf (35730493300)","55151541700; 57218478717; 57201211011; 35730493300","Press to pay: The power of biometrics in financial transactions investigated by PLS-SEM, fsQCA, and NCA","2025","https://www.scopus.com/pages/publications/105016782256?origin=resultslist"
"An M.; Lin J.; Benitez J.","An, Meng (59175593600); Lin, Jiabao (57203745019); Benitez, Jose (57203203955)","59175593600; 57203745019; 57203203955","Effects of artificial intelligence usage and knowledge-based dynamic capabilities on organizational innovation: A configurational approach","2026","https://www.scopus.com/pages/publications/105021078970?origin=resultslist"
"Gavín-Chocano Ó.; García-Martínez I.; de la Rosa A.L.","Gavín-Chocano, Óscar (57215011390); García-Martínez, Inmaculada (57202803449); de la Rosa, Antonio Luque (55781161900)","57215011390; 57202803449; 55781161900","Self-regulated learning as an inherent factor of academic self-concept in university students","2024","https://www.scopus.com/pages/publications/85201004016?origin=resultslist"
"Eccarius T.; Chen C.-F.","Eccarius, Timo (57203130966); Chen, Ching-Fu (14832325400)","57203130966; 14832325400","Examining trust as a critical factor for the adoption of electric vehicle sharing via necessary condition analysis","2024","https://www.scopus.com/pages/publications/85202347260?origin=resultslist"
"Sorjonen K.; Melin B.","Sorjonen, Kimmo (8215118900); Melin, Bo (7003396577)","8215118900; 7003396577","Predicting the significance of necessity","2019","https://www.scopus.com/pages/publications/85061570698?origin=resultslist"
"Dai B.; Zhu J.; Zhu X.","Dai, Beibei (60221689600); Zhu, Jianming (55574210251); Zhu, Xiaoling (60085031500)","60221689600; 55574210251; 60085031500","The Impact of AI-Recommended Content Affordances on Post-Purchase Intention in Stockout Substitution Scenarios","2025","https://www.scopus.com/pages/publications/105023642508?origin=resultslist"
"Xia Y.; Luo J.Q.; Wei M.X.; Wei Z.","Xia, Yu (57201996973); Luo, Jia Qi (60414354800); Wei, Ming Xia (14020821600); Wei, zhenke (58910216400)","57201996973; 60414354800; 14020821600; 58910216400","What will cause adopters to continually adopt the DCEP? an expanded analysis by PLS-SEM, NCA, and FsQCA","2026","https://www.scopus.com/pages/publications/105030971549?origin=resultslist"
"Sharma A.; Dwivedi R.; Mariani M.M.; Islam T.","Sharma, Anshuman (57222817448); Dwivedi, Rohita (57210702018); Mariani, Marcello M. (36817705700); Islam, Tahir (57195424899)","57222817448; 57210702018; 36817705700; 57195424899","Investigating the effect of advertising irritation on digital advertising effectiveness: A moderated mediation model","2022","https://www.scopus.com/pages/publications/85129696767?origin=resultslist"
"Manchiraju S.; Akbari M.; Seydavi M.","Manchiraju, Srikant (55369564600); Akbari, Mehdi (57207502301); Seydavi, Mohammad (57216990089)","55369564600; 57207502301; 57216990089","Is entrepreneurial role stress a necessary condition for burnout? A necessary condition analysis","2024","https://www.scopus.com/pages/publications/85153729813?origin=resultslist"
"Karwowski M.","Karwowski, Maciej (57204340112)","57204340112","Intelligence, Creativity, and Wisdom: The Three Musketeers of Positive Change","2023","https://www.scopus.com/pages/publications/85173357682?origin=resultslist"
"Zhao H.; Furuoka F.","Zhao, Haipeng (58994217900); Furuoka, Fumitaka (24464870400)","58994217900; 24464870400","Linking social capital to green purchasing intentions in livestreaming sessions: the moderating role of perceived visible heterogeneity","2025","https://www.scopus.com/pages/publications/105002760304?origin=resultslist"
"Yang X.; Xu S.; Jin M.; Xiao N.; Liang S.","Yang, Xianhua (30268044800); Xu, Shuyan (43262112600); Jin, Min (60328028600); Xiao, Nan (59987594600); Liang, Shaobo (59374164500)","30268044800; 43262112600; 60328028600; 59987594600; 59374164500","A Framework for Integrating Necessary Condition Analysis and Nomological Networks to Establish Construct Validity Beyond Correlation","2026","https://www.scopus.com/pages/publications/105027249838?origin=resultslist"
"Zhou S.; Wang Y.","Zhou, Shuai (57670065100); Wang, Yibo (59654016600)","57670065100; 59654016600","How negative anthropomorphic message framing and nostalgia enhance pro-environmental behaviors during the COVID-19 pandemic in China: An SEM-NCA approach","2022","https://www.scopus.com/pages/publications/85137918002?origin=resultslist"
"Mkedder N.; Bakır M.; Aldhabyani Y.; Ozata F.Z.","Mkedder, Nadjim (57438748100); Bakır, Mahmut (57218704775); Aldhabyani, Yaser (58909780700); Ozata, Fatma Zeynep (55991583000)","57438748100; 57218704775; 58909780700; 55991583000","Exploring virtual goods purchase intentions: an integrated SEM-NCA approach in online gaming","2024","https://www.scopus.com/pages/publications/85186177634?origin=resultslist"
"Woody E.; Sadler P.","Woody, Erik (7004197341); Sadler, Pamela (7103024490)","7004197341; 7103024490","Interpersonal Aspects of Hypnosis: Twisted Pears and Other Forbidden Fruit","2022","https://www.scopus.com/pages/publications/85084633208?origin=resultslist"
"Karwowski M.; Dul J.; Gralewski J.; Jauk E.; Jankowska D.M.; Gajda A.; Chruszczewski M.H.; Benedek M.","Karwowski, Maciej (57204340112); Dul, Jan (7004370666); Gralewski, Jacek (15922790300); Jauk, Emanuel (55087422900); Jankowska, Dorota M. (57086751900); Gajda, Aleksandra (56294509500); Chruszczewski, Michael H. (16241085300); Benedek, Mathias (13006425600)","57204340112; 7004370666; 15922790300; 55087422900; 57086751900; 56294509500; 16241085300; 13006425600","Is creativity without intelligence possible? A Necessary Condition Analysis","2016","https://www.scopus.com/pages/publications/84975464640?origin=resultslist"
"Duan X.; Si H.; Xia X.","Duan, Xu (57442966400); Si, Hongyun (57202583737); Xia, Xin (57781991100)","57442966400; 57202583737; 57781991100","Understanding the non-users’ acceptability of autonomous vehicle hailing services using SEM-ANN-NCA approach","2025","https://www.scopus.com/pages/publications/85217920860?origin=resultslist"
"Edelmann C.M.; Boen F.; Stouten J.; Vande Broek G.; Fransen K.","Edelmann, Charlotte M. (57220205820); Boen, Filip (56998962100); Stouten, Jeroen (13907268100); Vande Broek, Gert (56999011000); Fransen, Katrien (57220371570)","57220205820; 56998962100; 13907268100; 56999011000; 57220371570","The Power of Peer Leaders: Exploring the Link between Peer Leadership Behaviors and Sustainable Work Outcomes","2024","https://www.scopus.com/pages/publications/85183409856?origin=resultslist"
