"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"He X.; Yang H.","He, Xin (59524755100); Yang, Huixue (59468533600)","59524755100; 59468533600","The Relationship between Financial Performance and Stock Price of Energy Conservation and Environmental Protection Listed Companies-A Study Based on fsQCA","2025","Polish Journal of Environmental Studies","34","2","","1137","1150","0","10.15244/pjoes/187112","https://www.scopus.com/pages/publications/85215768960?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85215768960"
"De Sousa T.M.F.; Bizarrias F.S.; Raposo L.L.; da Cruz D.L.","De Sousa, Thamiris Magalhães Fávero (60116312100); Bizarrias, Flávio Santino (57216853750); Raposo, Larissa Luz (60116100300); da Cruz, Diogo Leite (60115783100)","60116312100; 57216853750; 60116100300; 60115783100","When AI becomes afterlife: psychological factors driving acceptance of thanabots services","2025","Journal of Services Marketing","","","","","","1","10.1108/JSM-01-2025-0052","https://www.scopus.com/pages/publications/105017156598?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105017156598"
"Sorjonen K.; Melin B.; Melin M.","Sorjonen, Kimmo (8215118900); Melin, Bo (7003396577); Melin, Marika (55777082900)","8215118900; 7003396577; 55777082900","Questionable necessity effects on suicidal ideation: a commentary on Marchetti et al. (2026)","2026","Frontiers in Psychology","17","","1794113","","","0","10.3389/fpsyg.2026.1794113","https://www.scopus.com/pages/publications/105034408065?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034408065"
"Zhang J.; Yang Z.; Zhang X.; Sun J.; He B.","Zhang, Jifeng (55607728900); Yang, Zirui (58648628500); Zhang, Xiaoyu (58676374500); Sun, Jun (57200718997); He, Bing (57422612500)","55607728900; 58648628500; 58676374500; 57200718997; 57422612500","Institutional Configuration Study of Urban Green Economic Efficiency – Analysis Based on fsQCA and NCA","2025","Polish Journal of Environmental Studies","34","2","","1457","1467","19","10.15244/pjoes/187130","https://www.scopus.com/pages/publications/85205235724?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205235724"
"P. I.; Mekonnen N.","P., Ishwara (58879572500); Mekonnen, Naod (58758195100)","58879572500; 58758195100","The role of ethical climate types in professional accountants’ ethical decision-making: a necessary condition analysis (NCA)","2025","Accounting Research Journal","38","5-6","","581","608","0","10.1108/ARJ-01-2025-0028","https://www.scopus.com/pages/publications/105025403538?origin=resultslist","Article","Final","","Scopus","2-s2.0-105025403538"
"Mao S.; Huang R.","Mao, Shuai (57223399776); Huang, Rong (57223394041)","57223399776; 57223394041","How can regional innovation ecosystems attain and maintain stable operation? - an investigation utilising NCA and fsQCA","2025","Technology Analysis and Strategic Management","37","12","","3160","3174","3","10.1080/09537325.2024.2398059","https://www.scopus.com/pages/publications/85202944222?origin=resultslist","Article","Final","","Scopus","2-s2.0-85202944222"
"Yu F.; Li R.; Lu Y.","Yu, Feifei (60170332100); Li, Rui (60170784000); Lu, Yi (55568529276)","60170332100; 60170784000; 55568529276","Research on the Impact Path of Resource Inputs on Urban Smartness and Resilience in Megacities","2025","Lecture Notes on Data Engineering and Communications Technologies","264","","","1022","1035","0","10.1007/978-981-95-1595-0_73","https://www.scopus.com/pages/publications/105020951783?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105020951783"
"Twyford J.; Hosseini E.; Haverila K.; Haverila M.","Twyford, Jenny (57216939244); Hosseini, Elahe (57208186445); Haverila, Kai (55809406500); Haverila, Matti (36456769400)","57216939244; 57208186445; 55809406500; 36456769400","The interaction between Industry 4.0 practices, distributor sustainability development and performance: a necessary condition analysis","2025","Social Responsibility Journal","","","","1","25","0","10.1108/SRJ-10-2024-0747","https://www.scopus.com/pages/publications/105024603859?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105024603859"
"Chen Y.; Chen G.; Chen J.","Chen, Yu (60511180600); Chen, Guanxi (60086882200); Chen, Jiajun (58694791500)","60511180600; 60086882200; 58694791500","Generative AI–social media coordinated learning and university students' psychological well-being: dual pathways and the buffering role of perceived support","2026","Frontiers in Psychology","17","","1788850","","","0","10.3389/fpsyg.2026.1788850","https://www.scopus.com/pages/publications/105033274947?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033274947"
"Han H.; Kim S.; Sarah B.-S.-O.; Jung I.; Chi X.","Han, Heesup (21233360400); Kim, Seongseop (Sam) (57209619163); Sarah, Blankson-Stiles-Ocran (57237206400); Jung, Inyoung (57849571900); Chi, Xiaoting (57216876022)","21233360400; 57209619163; 57237206400; 57849571900; 57216876022","Determinants of hospitality and tourism employees’ green behaviors: a deeper insight into the application of behavioral reasoning theory","2025","Journal of Hospitality and Tourism Insights","8","6","","2033","2056","3","10.1108/JHTI-08-2024-0883","https://www.scopus.com/pages/publications/85213723987?origin=resultslist","Article","Final","","Scopus","2-s2.0-85213723987"
"Weng D.; Huang Y.; Dai Y.","Weng, Diyao (58965894900); Huang, Yan (57195838044); Dai, Yongwu (56203332000)","58965894900; 57195838044; 56203332000","How Can State-Owned Forest Farms Promote Sustainable Forest–Village Cooperation? A Configuration Analysis Based on the Resource Orchestration Perspective","2025","Forests","16","1","154","","","2","10.3390/f16010154","https://www.scopus.com/pages/publications/85215975302?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85215975302"
"Xu Y.; Cheah J.-H.; Hair J.F., Jr.; Liu Y.","Xu, Yizhen (58010437700); Cheah, Jun-Hwa (57191585883); Hair, Joseph F. (16230161100); Liu, Yide (55278323400)","58010437700; 57191585883; 16230161100; 55278323400","Does EMA implementation promote green innovation? The mediation effects of both cross-functional coopetition and supplier co-creation","2025","Business Strategy and the Environment","34","1","","380","401","8","10.1002/bse.3987","https://www.scopus.com/pages/publications/85205828524?origin=resultslist","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85205828524"
"Ye X.; Ruan Y.; Xia S.; Gu L.","Ye, Xinjie (59502038700); Ruan, Yanwen (57191091181); Xia, Sibei (57195728746); Gu, Liwen (59501940900)","59502038700; 57191091181; 57195728746; 59501940900","Adoption of digital intangible cultural heritage: a configurational study integrating UTAUT2 and immersion theory","2025","Humanities and Social Sciences Communications","12","1","23","","","17","10.1057/s41599-024-04222-8","https://www.scopus.com/pages/publications/85214274251?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85214274251"
"Dou Z.; Jia S.","Dou, Zixin (57206491113); Jia, Shuaishuai (57246101200)","57206491113; 57246101200","The Synergistic Empowerment of Digital Transformation and ESG on Enterprise Green Innovation","2025","Systems","13","9","740","","","2","10.3390/systems13090740","https://www.scopus.com/pages/publications/105017006472?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017006472"
"Hadi N.U.; Imran Khan M.","Hadi, Noor Ul (57202368934); Imran Khan, M. (60229680400)","57202368934; 60229680400","Factors influencing circular economy business model adoption: Evidence from NCA and PLS-SEM","2026","Journal of Open Innovation: Technology, Market, and Complexity","12","1","100697","","","3","10.1016/j.joitmc.2025.100697","https://www.scopus.com/pages/publications/105024203135?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024203135"
"Zhao Y.; Ai L.","Zhao, Yangyintao (58793628700); Ai, Liangrui (60009721300)","58793628700; 60009721300","Potential key factors? Exploring the predictive role and necessity of emotional intelligence and resilience for pre-service teachers’ critical thinking disposition","2026","Frontiers in Education","11","","1729435","","","0","10.3389/feduc.2026.1729435","https://www.scopus.com/pages/publications/105031074898?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031074898"
"Tao K.; Tan C.C.","Tao, Ke (60258295000); Tan, Chai Ching (60120818100)","60258295000; 60120818100","Linking Psychological Safety Climate to Dual Innovation Through AI-Enabled Dynamic Capabilities","2025","Emerging Science Journal","9","6","","3268","3287","1","10.28991/ESJ-2025-09-06-022","https://www.scopus.com/pages/publications/105025880619?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025880619"
"İnce F.; Şahin İ.E.; Durmaz V.","İnce, Ferhat (58291744700); Şahin, İhsan Emrecan (59489521000); Durmaz, Vildan (54388892600)","58291744700; 59489521000; 54388892600","What today’s airline passengers expect from airports in developed cities: a trilateral integrated approach","2026","Journal of Hospitality and Tourism Insights","9","1","","60","82","0","10.1108/JHTI-01-2025-0098","https://www.scopus.com/pages/publications/105028581184?origin=resultslist","Article","Final","","Scopus","2-s2.0-105028581184"
"Yuan M.; Zhuang T.; Liu G.","Yuan, Meng (59145079600); Zhuang, Taozhi (56263743000); Liu, Guiwen (7501459602)","59145079600; 56263743000; 7501459602","What types of urban regeneration projects catalyze urban development? A configurational perspective","2025","Engineering, Construction and Architectural Management","","","","1","25","0","10.1108/ECAM-05-2025-0800","https://www.scopus.com/pages/publications/105026594279?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105026594279"
"Loh X.-M.; Shyu W.-H.; Lee V.-H.; Huang H.-L.; Tan G.W.-H.; Ooi K.-B.","Loh, Xiu-Ming (57212302322); Shyu, Wen-Hwa (59535008600); Lee, Voon-Hsien (42061780600); Huang, Hui-Ling (55738316000); Tan, Garry Wei-Han (57035671700); Ooi, Keng-Boon (14619509700)","57212302322; 59535008600; 42061780600; 55738316000; 57035671700; 14619509700","Super App: A Multi-Analytical Cross-Country Approach on the “Everything” App","2025","Journal of Computer Information Systems","","","","","","0","10.1080/08874417.2025.2560379","https://www.scopus.com/pages/publications/105018009739?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105018009739"
"Sun K.; Ooi K.-B.; Wei-Han Tan G.; Lee V.-H.","Sun, Kaixiang (58545420300); Ooi, Keng-Boon (14619509700); Wei-Han Tan, Garry (57035671700); Lee, Voon-Hsien (42061780600)","58545420300; 14619509700; 57035671700; 42061780600","Small and medium-sized enterprises’ path to sustainable supply chains: exploring the role of supply chain finance and risk management","2025","Supply Chain Management","30","1","","1","18","13","10.1108/SCM-08-2023-0437","https://www.scopus.com/pages/publications/85208972067?origin=resultslist","Article","Final","","Scopus","2-s2.0-85208972067"
"Bullemore-Campbell J.; Díaz Tautiva J.A.; Cristobal-Fransi E.","Bullemore-Campbell, Jorge (60173602100); Díaz Tautiva, Julián Andrés (57221557852); Cristobal-Fransi, Eduard (8588970900)","60173602100; 57221557852; 8588970900","AI in sales: Environmental, behavioral, and technological drivers of adoption in an emerging market","2025","Social Sciences and Humanities Open","12","","102161","","","0","10.1016/j.ssaho.2025.102161","https://www.scopus.com/pages/publications/105021131083?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021131083"
"Saklani S.; Kala D.","Saklani, Sushant (58966368000); Kala, Devkant (57008959500)","58966368000; 57008959500","Banking on bots: examining user satisfaction and continuance intention of chatbots using multi-group analysis and necessary condition analysis","2026","International Journal of Electronic Business","21","1","","111","134","0","10.1504/IJEB.2026.150467","https://www.scopus.com/pages/publications/105025437896?origin=resultslist","Article","Final","","Scopus","2-s2.0-105025437896"
"Yang S.; Bai T.; Li Z.; Feng L.; Zhang J.; Jiang W.","Yang, Siqi (59937400900); Bai, Taoping (57200246880); Li, Zhongyou (57203727966); Feng, Lin (59937401000); Zhang, Jialu (59938124900); Jiang, Wentao (7403697885)","59937400900; 57200246880; 57203727966; 59937401000; 59938124900; 7403697885","Evaluation of indoor residential satisfaction of the older adults in old residential areas: a case study of Sichuan, China","2025","Journal of Asian Architecture and Building Engineering","","","","","","0","10.1080/13467581.2025.2526196","https://www.scopus.com/pages/publications/105009914175?origin=resultslist","Article","Article in press","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009914175"
"Rulandari N.; Silalahi A.D.K.","Rulandari, Novianita (57205056581); Silalahi, Andri Dayarana K. (57210449709)","57205056581; 57210449709","Human-AI collaboration for efficiency and employee job satisfaction in public administration: insights from a resource-based perspective","2025","Transforming Government: People, Process and Policy","19","2","","264","287","8","10.1108/TG-01-2025-0011","https://www.scopus.com/pages/publications/105002298872?origin=resultslist","Article","Final","","Scopus","2-s2.0-105002298872"
"Jie Y.; Hu S.; Zhu S.; Wang J.","Jie, Yulong (59306127400); Hu, Shuigen (57201903226); Zhu, Siling (59490015200); Wang, Jue (35147037300)","59306127400; 57201903226; 59490015200; 35147037300","How does digitalization affect the urban-rural income gap? A study using panel fsQCA and NCA in developing economies","2026","Socio-Economic Planning Sciences","105","","102456","","","0","10.1016/j.seps.2026.102456","https://www.scopus.com/pages/publications/105030968605?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105030968605"
"Tsai M.-C.; Merkert R.; Mitchell V.; Wu A.","Tsai, Ming-Chih (36624478300); Merkert, Rico (35253669500); Mitchell, Vince (7006462474); Wu, Andy (26632536200)","36624478300; 35253669500; 7006462474; 26632536200","Modelling customer portfolios in air freight logistics markets with a focus on customer value and customer attractiveness","2026","Journal of Air Transport Management","135","","103014","","","0","10.1016/j.jairtraman.2026.103014","https://www.scopus.com/pages/publications/105032210837?origin=resultslist","Article","Final","","Scopus","2-s2.0-105032210837"
"Afthanorhan A.; Mohamad N.Z.; Tajuddin S.A.F.S.A.; Rahim N.A.A.A.; Abdullah H.; Abdul Ghani M.T.","Afthanorhan, Asyraf (57184337300); Mohamad, Nur Zainatulhani (59923540000); Tajuddin, Sheikh Ahmad Faiz Sheikh Ahmad (57222464149); Rahim, Nurul Aisyah Awanis A. (58993722300); Abdullah, Hamdy (57212302917); Abdul Ghani, Muhammad Takiyuddin (59223241400)","57184337300; 59923540000; 57222464149; 58993722300; 57212302917; 59223241400","Examining Academics’ Perceptions of Technology Acceptance in Statistics Education: A Necessary Condition Analysis (NCA) and Structural Equation Modeling (SEM) Approach","2025","Eurasian Studies in Business and Economics","2","","","39","67","0","10.1007/978-3-031-98398-6_3","https://www.scopus.com/pages/publications/105018008292?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105018008292"
"Mingxing L.; Zhiqiang M.; Ge B.; Xinping S.; Heydari M.; Bwabo M.H.","Mingxing, Li (43261574600); Zhiqiang, Ma (57192201403); Ge, Bailin (57419442400); Xinping, Song (36350245800); Heydari, Mohammad (57188842078); Bwabo, Maulid H. (57214800824)","43261574600; 57192201403; 57419442400; 36350245800; 57188842078; 57214800824","Exploring the necessity of corporate dynamic capability and sustainable performance","2025","South African Journal of Economic and Management Sciences","28","1","a5830","","","1","10.4102/sajems.v28i1.5830","https://www.scopus.com/pages/publications/85217218078?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217218078"
"Yang W.; Fu X.","Yang, Wei (60558783000); Fu, Xinhong (36162862200)","60558783000; 36162862200","How does digitization drive county agricultural economic growth? A configuration analysis based on innovation ecosystem theory; [数字化何以驱动县域农业经济增长- 基于创新生态系统理论的组态分析]","2026","Journal of China Agricultural University","31","4","","293","306","0","10.11841/j.issn.1007-4333.2026.04.22","https://www.scopus.com/pages/publications/105034799025?origin=resultslist","Article","Final","","Scopus","2-s2.0-105034799025"
"Pegan G.; Marzi G.; Ranfagni S.","Pegan, Giovanna (56939323500); Marzi, Giacomo (57188549922); Ranfagni, Silvia (17344402700)","56939323500; 57188549922; 17344402700","Pathways to Sustainable Consumption Apps Adoption: Extending UTAUT2 With Personal Values and Behaviors","2025","Business Strategy and the Environment","34","7","","8334","8357","3","10.1002/bse.70005","https://www.scopus.com/pages/publications/105007949567?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007949567"
"Tetteh F.K.; Owusu Kwateng K.","Tetteh, Francis Kamewor (57248634300); Owusu Kwateng, Kwame (57194106627)","57248634300; 57194106627","Digital pathways to supply chain viability: exploring nice and must-to have practices in dynamic environment –insight from SEM and NCA","2025","Journal of Enterprise Information Management","","","","1","38","3","10.1108/JEIM-05-2025-0367","https://www.scopus.com/pages/publications/105024414310?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105024414310"
"Aw E.C.-X.; Thomas S.; Patel R.; Bhatt V.; Jariwala H.; Pandey S.","Aw, Eugene Cheng-Xi (57203209139); Thomas, Sujo (57207268469); Patel, Ritesh (57658313600); Bhatt, Viral (57656396600); Jariwala, Harsha (55848995200); Pandey, Sudhir (58199431400)","57203209139; 57207268469; 57658313600; 57656396600; 55848995200; 58199431400","Turning social interaction into social impact: understanding donation behaviour in social commerce","2026","Electronic Commerce Research","","","","","","0","10.1007/s10660-026-10120-9","https://www.scopus.com/pages/publications/105034317492?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105034317492"
"Morgado Oliveira J.; Gomes C.F.","Morgado Oliveira, Joana (58698235800); Gomes, Carlos F. (57194945634)","58698235800; 57194945634","How EFQM Enablers unlock the full potential of TQM","2025","Total Quality Management and Business Excellence","36","15-16","","1656","1670","0","10.1080/14783363.2025.2589269","https://www.scopus.com/pages/publications/105022288140?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105022288140"
"Żemigała M.; Wiśniewska A.; Liczmańska-Kopcewicz K.; Kiresiewa Z.; Tuovila H.","Żemigała, Marcin (57204700087); Wiśniewska, Agnieszka (59925346800); Liczmańska-Kopcewicz, Katarzyna (57204906850); Kiresiewa, Zoritza (55532694100); Tuovila, Hannamaija (57211965659)","57204700087; 59925346800; 57204906850; 55532694100; 57211965659","A novel integrated structural model of green consumer purchasing behavior: A systematic literature review with COM-B framework perspective","2025","Equilibrium. Quarterly Journal of Economics and Economic Policy","20","2","","745","801","1","10.24136/eq.3780","https://www.scopus.com/pages/publications/105012200120?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012200120"
"Khoirunnisa A.N.; Ohgata S.; Khoirunisa K.R.; Pambekti G.T.; Yusfiarto R.","Khoirunnisa, Annes Nisrina (57554385800); Ohgata, Satomi (57591390200); Khoirunisa, Kharisa Rachmi (57452208500); Pambekti, Galuh Tri (57554385700); Yusfiarto, Rizaldi (57261760100)","57554385800; 57591390200; 57452208500; 57554385700; 57261760100","Necessary and Sufficient Conditions for Purchasing Halal Skincare: Extending the Theory of Planned Behavior","2025","Indonesian Journal of Halal Research","7","1","","62","77","1","10.15575/ijhar.v7i1.39556","https://www.scopus.com/pages/publications/105008827698?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105008827698"
"Haverila M.; Twyford J.C.; McLaughlin C.; Arora M.","Haverila, Matti (36456769400); Twyford, Jenny Carita (57216939244); McLaughlin, Caitlin (57202043194); Arora, Mehak (57213649720)","36456769400; 57216939244; 57202043194; 57213649720","Personnel capabilities and the quality of big data marketing analytics (BDMA)","2025","Management Decision","","","","1","27","0","10.1108/MD-10-2024-2285","https://www.scopus.com/pages/publications/105024473540?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105024473540"
"Díez-de-Castro E.; Vázquez-Sánchez A.; Agustí-Pérez M.","Díez-de-Castro, Emilio (57207672721); Vázquez-Sánchez, Adolfo (56610182500); Agustí-Pérez, María (60406253800)","57207672721; 56610182500; 60406253800","Legitimacy of mature microenterprises: essential dimensions for their stability and growth","2025","European Journal of Management and Business Economics","","","","1","20","0","10.1108/EJMBE-01-2025-0031","https://www.scopus.com/pages/publications/105025405149?origin=resultslist","Article","Article in press","All Open Access; Gold Open Access","Scopus","2-s2.0-105025405149"
"Keimasi M.; Giwa S.; Chitsazan H.; NasirpourOsgoei S.N.","Keimasi, Masoud (35237104200); Giwa, Shelton (59740203400); Chitsazan, Hasti (57204311864); NasirpourOsgoei, Seyed Navid (60018792700)","35237104200; 59740203400; 57204311864; 60018792700","Typologies of assessment journey experiences: understanding what works for whom in block teaching through the lens of a 3D framework","2025","Assessment and Evaluation in Higher Education","","","","","","0","10.1080/02602938.2025.2573090","https://www.scopus.com/pages/publications/105019761331?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105019761331"
"Sayed A.; Mathew A.O.; Rodrigues L.L.R.","Sayed, Alfia (60029059200); Mathew, Asish Oommen (57194780200); Rodrigues, Lewlyn L.R. (22136422800)","60029059200; 57194780200; 22136422800","A SEM-ANN-NCA ANALYSIS OF GEN Z'S PERCEPTION-DRIVEN ADOPTION OF AUGMENTED E-COMMERCE","2025","Journal of Applied Structural Equation Modeling","9","2","","","","1","10.47263/JASEM.9(2)05","https://www.scopus.com/pages/publications/105012547856?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105012547856"
"Chen L.-H.","Chen, Li-Hsin (57207726401)","57207726401","Shared Transport Systems in Urban Tourism: Alternative Insights From Necessary Condition Analysis and Combined Importance-Performance Map Analysis","2026","International Journal of Tourism Research","28","1","e70215","","","0","10.1002/jtr.70215","https://www.scopus.com/pages/publications/105030130406?origin=resultslist","Article","Final","","Scopus","2-s2.0-105030130406"
"Su X.; Li Y.; Qu X.; Yin J.","Su, Xinwei (56506123600); Li, Yongle (59728431800); Qu, Xingqin (58509228000); Yin, Jie (57211026785)","56506123600; 59728431800; 58509228000; 57211026785","Distance Decay? Configuration Analysis of the Influence of Multidimensional Distances on Health Tourism Flow in China","2025","International Journal of Tourism Research","27","2","e2796","","","1","10.1002/jtr.2796","https://www.scopus.com/pages/publications/105002113671?origin=resultslist","Article","Final","","Scopus","2-s2.0-105002113671"
"Zhou Z.; Chen Z.; Jin X.-L.; Yuan Z.","Zhou, Zhongyun (24779037200); Chen, Zidie (58569127000); Jin, Xiao-Ling (57223735324); Yuan, Zhangshuai (58043961300)","24779037200; 58569127000; 57223735324; 58043961300","Unveiling motivational configurations in shaping meaningful engagement in green gamification","2025","European Journal of Information Systems","34","4","","715","738","10","10.1080/0960085X.2024.2404968","https://www.scopus.com/pages/publications/85204168720?origin=resultslist","Article","Final","","Scopus","2-s2.0-85204168720"
"Fakfare P.; Manosuthi N.; Lee J.-S.; Han H.; Kang H.","Fakfare, Pipatpong (57209203621); Manosuthi, Noppadol (57212221778); Lee, Jin-Soo (55689986900); Han, Heesup (21233360400); Kang, Heerae (59062244400)","57209203621; 57212221778; 55689986900; 21233360400; 59062244400","Small island tourism and visitors’ pro-environmental behaviors: an optimum combination impact assessment","2025","Asia Pacific Journal of Tourism Research","30","7","","866","884","3","10.1080/10941665.2025.2471495","https://www.scopus.com/pages/publications/86000242505?origin=resultslist","Article","Final","","Scopus","2-s2.0-86000242505"
"Veiga P.M.; Ferreira J.J.; Zhang J.Z.; Liu Y.","Veiga, Pedro M. (57304719300); Ferreira, João J. (25959981800); Zhang, Justin Z. (57924154800); Liu, Yulong (57201931241)","57304719300; 25959981800; 57924154800; 57201931241","Exploring the Connections: Ambidexterity, Digital Capabilities, Resilience, and Behavioral Innovation","2025","Journal of Computer Information Systems","65","4","","415","427","14","10.1080/08874417.2023.2297031","https://www.scopus.com/pages/publications/85181728174?origin=resultslist","Article","Final","","Scopus","2-s2.0-85181728174"
"Huangfu J.; Li R.; Xu J.; Pan Y.","Huangfu, Juan (59506963700); Li, Ruoyuan (59507386100); Xu, Junping (58363397500); Pan, Younghwan (35520173400)","59506963700; 59507386100; 58363397500; 35520173400","Fostering Continuous Innovation in Creative Education: A Multi-Path Configurational Analysis of Continuous Collaboration with AIGC in Chinese ACG Educational Contexts","2025","Sustainability (Switzerland)","17","1","144","","","11","10.3390/su17010144","https://www.scopus.com/pages/publications/85214463736?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85214463736"
"Pinho J.C.; Fontes A.; Santos G.G.","Pinho, José Carlos (13411016100); Fontes, Alexandra (8840649200); Santos, Gina Gaio (24773865600)","13411016100; 8840649200; 24773865600","Balancing the double-edged sword of artificial Intelligence: Job demands, resources, and Work–Life balance","2026","Computers in Human Behavior Reports","21","","100924","","","0","10.1016/j.chbr.2025.100924","https://www.scopus.com/pages/publications/105027944203?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027944203"
"Tang L.; Zhao H.; Zhou Z.; Li Q.; Qian Z.; Hou S.; Liu B.","Tang, Liang (55866746800); Zhao, Hengkai (59713649600); Zhou, Zhuofan (58954094600); Li, Qiubo (57223011867); Qian, Zixi (57291298200); Hou, Shanshan (57198345633); Liu, Bo (57196891152)","55866746800; 59713649600; 58954094600; 57223011867; 57291298200; 57198345633; 57196891152","Spatio-temporal distribution characteristics and driving factors of urban resilience in the Yangtze River Delta","2025","Environmental Geochemistry and Health","47","9","370","","","2","10.1007/s10653-025-02691-7","https://www.scopus.com/pages/publications/105013298552?origin=resultslist","Article","Final","","Scopus","2-s2.0-105013298552"
"Geremew Y.M.; Kleynhans C.","Geremew, Yechale Mehiret (57203844790); Kleynhans, Carina (57200945829)","57203844790; 57200945829","Qualitative Comparative Analysis in Tourism, Leisure, and Hospitality Studies: Bridging Methodological Polarities","2025","African Journal of Hospitality, Tourism and Leisure","14","3","","1058","1065","0","10.46222/ajhtl.19770720.694","https://www.scopus.com/pages/publications/105027290361?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027290361"
"Arnal-Pastor M.; Chaparro-Banegas N.; Belso-Martínez J.A.; Roig-Tierno N.","Arnal-Pastor, Maria (54079457500); Chaparro-Banegas, Nuria (57271947800); Belso-Martínez, José A. (8599476500); Roig-Tierno, Norat (55640185000)","54079457500; 57271947800; 8599476500; 55640185000","An Anatomy of Social Practices: Unveiling Necessary Conditions","2025","SAGE Open","15","3","21582440251367503","","","0","10.1177/21582440251367503","https://www.scopus.com/pages/publications/105017066546?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017066546"
"Bustamante J.C.; Sosa-Varela J.C.; Bullemore-Campbell J.; Monje-Cueto F.","Bustamante, Juan Carlos (57202689227); Sosa-Varela, Juan Carlos (55350961500); Bullemore-Campbell, Jorge (57204572221); Monje-Cueto, Fabiola (57237067600)","57202689227; 55350961500; 57204572221; 57237067600","Leveraging CRM Capabilities for Enhanced Relationship Maintenance and Performance: Empirical Insights from Latin America’s Business-to-Business Sector","2025","Journal of Relationship Marketing","","","","","","1","10.1080/15332667.2025.2536925","https://www.scopus.com/pages/publications/105012463046?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105012463046"
"Reyes-Mercado P.; Larios Hernandez G.J.","Reyes-Mercado, Pável (56102632600); Larios Hernandez, Guillermo J. (57195675930)","56102632600; 57195675930","Digital enablers of entrepreneurial innovation: fsQCA and NCA analysis","2025","Journal of Organizational Effectiveness","12","2","","226","251","4","10.1108/JOEPP-02-2024-0055","https://www.scopus.com/pages/publications/85219746262?origin=resultslist","Article","Final","","Scopus","2-s2.0-85219746262"
"Torres P.; Godinho P.","Torres, Pedro (56789603200); Godinho, Pedro (57197742276)","56789603200; 57197742276","National competitive advantage in the digital age: a necessary condition analysis","2025","Competitiveness Review","","","","","","0","10.1108/CR-05-2025-0160","https://www.scopus.com/pages/publications/105011873227?origin=resultslist","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-105011873227"
"Fu S.; Hu X.; Zhang C.; Li Z.","Fu, Shaoling (36986860700); Hu, Xianxian (59655515900); Zhang, Chen (59655252900); Li, Zipeng (58913024700)","36986860700; 59655515900; 59655252900; 58913024700","A study on the influence of production and environmental information transparency on online consumers’ purchase intention of green agricultural products","2025","British Food Journal","127","4","","1461","1479","9","10.1108/BFJ-09-2024-0889","https://www.scopus.com/pages/publications/105001853573?origin=resultslist","Article","Final","","Scopus","2-s2.0-105001853573"
